SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F00000PIZV,12.57,1.41,1.1,8.12,2.95,16.85,-12.7,-6.51,4.13,-2.59
F00000OYVK,16.28,2.39,1.84,14.09,2.04,12.49,-7.32,-8.54,-4.13,-1.33
F00000O51U,16.28,2.39,1.84,14.09,2.04,12.49,-7.32,-8.54,-4.13,-1.33
F0GBR068AW,16.28,2.39,1.84,14.09,2.04,12.49,-7.32,-8.54,-4.13,-1.33
F0GBR04S23,13.11,1.3,0.74,7.42,1.99,8.36,-15.61,-6.47,17.68,-1.4
F00000OPY7,13.11,1.3,0.74,7.42,1.99,8.36,-15.61,-6.47,17.68,-1.4
F00000SGH5,14.65,1.89,1.39,7.93,1.81,8.58,-4.86,-5.61,-1.05,-0.52
F0GBR04CUU,17.29,2.65,2.38,17.1,1.42,11.26,-2.57,-10.98,-11.78,-1.11
F00000QS9S,17.29,2.65,2.38,17.1,1.42,11.26,-2.57,-10.98,-11.78,-1.11
F0000043NQ,16.3,1.99,1.38,11.34,1.81,10.24,-9.55,-8.13,4.34,-2.22
F0000043NR,16.3,1.99,1.38,11.34,1.81,10.24,-9.55,-8.13,4.34,-2.22
F00000VKYD,16.3,1.99,1.38,11.34,1.81,10.24,-9.55,-8.13,4.34,-2.22
F00000N703,13.93,2.07,1.4,10.94,3.42,9.13,-6.06,-6.94,-3.53,-3
F00000OBQT,13.93,2.07,1.4,10.94,3.42,9.13,-6.06,-6.94,-3.53,-3
F00000OBQR,13.93,2.07,1.4,10.94,3.42,9.13,-6.06,-6.94,-3.53,-3
F00000N705,16.21,2.41,1.5,13.49,2.4,10.27,-6.43,-3.67,1.23,1.26
F00000WZIY,16.21,2.41,1.5,13.49,2.4,10.27,-6.43,-3.67,1.23,1.26
F00000OBQV,16.21,2.41,1.5,13.49,2.4,10.27,-6.43,-3.67,1.23,1.26
F00000OBQU,16.21,2.41,1.5,13.49,2.4,10.27,-6.43,-3.67,1.23,1.26
F00000WZIZ,19.3,2.22,2.02,17.39,1.14,11.54,-5.76,-3.93,0.73,5.53
F00000OBQX,19.3,2.22,2.02,17.39,1.14,11.54,-5.76,-3.93,0.73,5.53
F00000OBQW,19.3,2.22,2.02,17.39,1.14,11.54,-5.76,-3.93,0.73,5.53
F00000OBQZ,14.98,2.49,1.49,11.43,3.01,8.14,-6.58,-7.32,-1.88,-1.2
F00000OBQY,14.98,2.49,1.49,11.43,3.01,8.14,-6.58,-7.32,-1.88,-1.2
F00000OBQP,16.9,2.77,1.58,14.63,2.62,8.77,-5.87,-4.99,5.81,1.41
F00000OBQO,16.9,2.77,1.58,14.63,2.62,8.77,-5.87,-4.99,5.81,1.41
F00000ZWX7,11.33,1.35,1.16,6.48,3.77,6.35,-13.44,-5.84,0.4,-0.99
F000010DEF,11.33,1.35,1.16,6.48,3.77,6.35,-13.44,-5.84,0.4,-0.99
F00000O8FZ,15.96,1.97,1.19,12.2,2.38,10.26,-11.49,-3.34,8.18,-0.58
F0GBR06KJM,15.96,1.97,1.19,12.2,2.38,10.26,-11.49,-3.34,8.18,-0.58
F0GBR06THP,15.96,1.97,1.19,12.2,2.38,10.26,-11.49,-3.34,8.18,-0.58
F00000JVU0,15.96,1.97,1.19,12.2,2.38,10.26,-11.49,-3.34,8.18,-0.58
F00000JVTV,15.96,1.97,1.19,12.2,2.38,10.26,-11.49,-3.34,8.18,-0.58
F0GBR04OC1,16.88,1.69,1.19,8.97,1.51,25.31,-10.97,-4.82,18.92,-2.28
F000003VYC,16.88,1.69,1.19,8.97,1.51,25.31,-10.97,-4.82,18.92,-2.28
F00000YQH5,16.88,1.69,1.19,8.97,1.51,25.31,-10.97,-4.82,18.92,-2.28
F00000YQH6,16.88,1.69,1.19,8.97,1.51,25.31,-10.97,-4.82,18.92,-2.28
F00000YQH7,16.88,1.69,1.19,8.97,1.51,25.31,-10.97,-4.82,18.92,-2.28
F0GBR04OCB,11.13,1.13,0.7,5.97,3.26,11.21,-2.95,-4.16,6.88,-1.04
F000003VYM,11.13,1.13,0.7,5.97,3.26,11.21,-2.95,-4.16,6.88,-1.04
F00000YQH8,11.13,1.13,0.7,5.97,3.26,11.21,-2.95,-4.16,6.88,-1.04
F00000YQH9,11.13,1.13,0.7,5.97,3.26,11.21,-2.95,-4.16,6.88,-1.04
F00000YQHA,11.13,1.13,0.7,5.97,3.26,11.21,-2.95,-4.16,6.88,-1.04
F0GBR04OC5,13.86,1.73,1.26,7.95,2.95,14.73,-5.35,-7.58,4.44,-3.11
F000003VYU,13.86,1.73,1.26,7.95,2.95,14.73,-5.35,-7.58,4.44,-3.11
F000003VYG,13.86,1.73,1.26,7.95,2.95,14.73,-5.35,-7.58,4.44,-3.11
F00000YQHD,13.86,1.73,1.26,7.95,2.95,14.73,-5.35,-7.58,4.44,-3.11
